fy,nasbo,zip,state,year,quar,stateno,general_revenue,personal_income1000s_annual,pop_annual,beginbal,exprev,year1,election_year,state1,sen_cont_alt,hs_cont_alt,govparty_c,gov_non_maj_pty,veto_override_prop,veto_override_prop_elected,vote_nec_budg,vote_nec_any_tax_inc,leg_cont,split_leg,government_cont,divided_gov,simple_divided_gov,sen_dem_prop_all,sen_rep_prop_all,hs_dem_prop_all,hs_rep_prop_all,sen_dem_veto_proof,sen_rep_veto_proof,hs_dem_veto_proof,hs_rep_veto_proof,dem_veto_proof,rep_veto_proof,veto_proof,divided_gov_veto_proof,dem_unified,veto_proof_leg_oth_gov,true_government_cont_a2,true_divided_gov_a,vote_nec_any_tax_inc_dum,sen_dem_tax_super,sen_rep_tax_super,hs_dem_tax_super,hs_rep_tax_super,dem_tax_super,rep_tax_super,leg_cont_tax_super,divided_leg_tax_super,estimbalance,year2,state2,dpi_change,dpi_pc_change,pop_change,pop_pc_change,taxes,govparty_rep,hserepcontrl,senaterepcontrl,spyear,spstate,sandp,govtotalsxrep,rrr,ddd,rrd,rdr,ddr,drd,rdd,drr,dltasandp,year7,electyr,state7,stateno7,sen_cont_alt2,hs_cont_alt2,gub_election2,govparty_c2,gov_non_maj_pty2,fy8,nasbo8,zip8,state8,estimbalance2,legtotals,legsales,leginctax,legcorpinc,legcigtob,legmotofuel,legalkie,legothers,legfees,govtotals,govsales,govinctax,govcorpinc,govcigtob,govmotofuel,govalkie,govothers,govfees,var118,legtotalspctaxes,legsalespctaxes,leginctaxpctaxes,legcorpincpctaxes,legcigtobpctaxes,legmotofuelpctaxes,legalkiepctaxes,legotherspctaxes,legfeespctaxes,govtotalspctaxes,govsalespctaxes,govinctaxpctaxes,govcorpincpctaxes,govcigtobpctaxes,govmotofuelpctaxes,govalkiepctaxes,govotherspctaxes,govfeespctaxes,stateno9,state_name9,elect_year9,sen_dem_prop,hs_dem_prop,dem_gub_prop_last_elect,govtotalspctaxesrepgov,govname1,dem_comp_score,dem_gov,dem_comp_score2,repgovaverage,state9,var149,year9,biennium,biennium_b,biennium_first_year,biennium_second_year,var155,gub_election,gub_election_regime,govparty_d,rep_gov,demgov_ideol,repgov_ideol,demsen,repsen,demhse,rephse,repunified,demunified,repunifiedideo,demunifiedideo,repgovtotals,repgovsales,repgovinc,repgovcorp,demgovtotals,demgovsales,demgovinc,demgovcrp,dem_gub_prop_last_elect2,rep_gub_prop_last_elect2,dem_gub_prop_last_elect3,rep_gub_prop_last_elect3,zip3,stateshor,yearnasbo,st,alpha,var188,hou_chamber,sen_chamber,hou_dem,hou_rep,hou_majority,sen_dem,sen_rep,sen_majority,var190,var191,average,allstdev,allavg,distance,placeinprimary,absideol,sumofideol,var199,var200,var201,var202,var203,repgovideology,demgovideology,govtotalspctaxesrep,govtotalspctaxesdem
2007,6-Jun,AL,Alabama,2006,2.5,1,2.00E+10,1.50E+11,4.70E+06,950,7477,2006,2005,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.714286,0.285714,0.6,0.4,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,639,2006,Alabama,0,0,0,0,8.50E+09,1,0,0,2007,Alabama,9,-31.5,1,0,0,0,0,0,0,0,0,2007,2006,Alabama,1,1,1,1,0,0,2007,6-Jun,AL,Alabama,6.40E+08,0,0,0,0,0,0,0,0,0,-3.20E+07,-3.50E+06,-2.80E+07,0,0,0,0,0,0,8.50E+09,0,0,0,0,0,0,0,0,0,-0.376,-0.041,-0.329,0,0,0,0,0,0,1,Alabama,2005,0.714286,0.609524,0.4988,-0.376,"Riley, Bob",-0.0012,0,0,1.77,Alabama,1,2006,2005,2005,0,1,"Riley, Bob",1,2006,0,1,0,1.77,1,0,1,0,0,0,0,0,-0.376,-0.041,-0.329,0,0,0,0,0,0.4988,0.5012,0,0.5012,AL,Alabama,2006,AL,1,2006,0.107,0.022,-0.162,0.846,-0.162,-0.223,1.133,-0.223,2006,Alabama,1.77,0.86,1.65,0,1,1.64706,4.20956,2006,Alabama,Alabama,2006,"Riley, Bob",1.77,0,-0.376,0
2008,7-Jun,AL,Alabama,2007,2.5,1,2.10E+10,1.60E+11,4.70E+06,515,7758,2007,2006,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.657143,0.342857,0.590476,0.409524,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,185,2007,Alabama,1.00E+07,7.14,100000,2.17,8.90E+09,1,0,0,2008,Alabama,9,-53.3,1,0,0,0,0,0,0,0,0,2008,2007,Alabama,1,1,1,0,0,0,2008,7-Jun,AL,Alabama,1.90E+08,0,0,0,0,0,0,0,0,0,-5.30E+07,-1.20E+07,-3.50E+07,-6.80E+06,0,0,0,0,0,8.90E+09,0,0,0,0,0,0,0,0,0,-0.596,-0.135,-0.393,-0.076,0,0,0,0,0,1,Alabama,2006,0.657143,0.590476,0.4198,-0.596,"Riley, Bob",-0.0802,0,0,1.77,Alabama,1,2007,2007,2007,1,0,"Riley, Bob",0,2010,0,1,0,1.77,1,0,1,0,0,0,0,0,-0.596,-0.135,-0.393,-0.076,0,0,0,0,0.4198,0.5802,0,0.5802,AL,Alabama,2007,AL,1,2007,0.063,0.015,-0.208,0.84,-0.208,-0.328,1.17,-0.328,2007,Alabama,1.77,0.86,1.65,0,1,1.64706,4.20956,2007,Alabama,Alabama,2007,"Riley, Bob",1.77,0,-0.596,0
2009,8-Jun,AL,Alabama,2008,2.5,1,2.10E+10,1.60E+11,4.80E+06,105,6513,2008,2007,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.628572,0.371429,0.590476,0.409524,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,49,2008,Alabama,1.00E+07,6.67,0,0,9.10E+09,1,0,0,2009,Alabama,9,15.9,1,0,0,0,0,0,0,0,0,2009,2008,Alabama,1,1,1,0,0,0,2009,8-Jun,AL,Alabama,4.90E+07,-1.30E+07,0,-6.50E+07,5.20E+07,0,0,0,0,0,1.60E+07,0,-1.70E+07,-6.70E+06,0,0,0,4.00E+07,0,9.10E+09,-0.143,0,-0.714,0.571,0,0,0,0,0,0.176,0,-0.187,-0.074,0,0,0,0.44,0,1,Alabama,2007,0.657143,0.590476,0.4198,0.176,"Riley, Bob",-0.0802,0,0,1.77,Alabama,1,2008,2007,2007,0,1,"Riley, Bob",0,2010,0,1,0,1.77,1,0,1,0,0,0,0,0,0.176,0,-0.187,-0.074,0,0,0,0,0.4198,0.5802,0,0.5802,AL,Alabama,2008,AL,1,2008,0.04,0.015,-0.208,0.84,-0.208,-0.328,1.17,-0.328,2008,Alabama,1.77,0.86,1.65,0,1,1.64706,4.20956,2008,Alabama,Alabama,2008,"Riley, Bob",1.77,0,0.176,0
2010,9-Jun,AL,Alabama,2009,2.5,1,2.10E+10,1.60E+11,4.80E+06,105,6484,2009,2008,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.542857,0.371429,0.590476,0.409524,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,2009,Alabama,0,0,100000,2.13,8.30E+09,1,0,0,2010,Alabama,9,0,1,0,0,0,0,0,0,0,0,2010,2009,Alabama,1,1,1,0,0,0,2010,9-Jun,AL,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.30E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,2008,0.657143,0.590476,0.4198,0,"Riley, Bob",-0.0802,0,0,1.77,Alabama,1,2009,2009,2009,1,0,"Riley, Bob",0,2010,0,1,0,1.77,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4198,0.5802,0,0.5802,AL,Alabama,2009,AL,1,2009,0.052,0.277,-0.214,0.84,-0.214,-0.284,1.149,-0.284,2009,Alabama,1.77,0.86,1.65,0,1,1.64706,4.20956,2009,Alabama,Alabama,2009,"Riley, Bob",1.77,0,0,0
2011,10-Jun,AL,Alabama,2010,2.5,1,2.30E+10,1.70E+11,4.80E+06,72,6855,2010,2009,Alabama,1,1,0,0,0.5,1,0.5,0.5,1,0,0.666667,1,1,0.6,0.4,0.571429,0.428571,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,38,2010,Alabama,0,0,0,0,8.20E+09,1,0,0,2011,Alabama,9,0,1,0,0,0,0,0,0,0,0,2011,2010,Alabama,1,0,0,1,0,0,2011,10-Jun,AL,Alabama,3.80E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,2009,0.657143,0.590476,0.4198,0,"Riley, Bob",-0.0802,0,0,1.77,Alabama,1,2010,2009,2009,0,1,"Riley, Bob",1,2010,0,1,0,1.77,0,1,0,1,1,0,1.77,0,0,0,0,0,0,0,0,0,0.4198,0.5802,0,0.5802,AL,Alabama,2010,AL,1,2010,0.069,0.15,-0.29,0.844,-0.29,-0.265,1.149,-0.265,2010,Alabama,1.77,0.86,1.65,#VALUE!,1,1.64706,4.20956,2010,Alabama,Alabama,2010,"Riley, Bob",1.77,0,0,0
2012,Spring 2011,AL,Alabama,2011,2.5,1,2.30E+10,1.70E+11,4.80E+06,51,7092,2011,2010,Alabama,0,0,0,0,0.5,1,,,0,0,0,0,0,0.342857,0.628572,0.409524,0.590476,0,1,0,1,0,1,1,0,0,0,-1,0,,,,,,,,,,51,2011,Alabama,8.10E+06,5.07,1627,0.03,8.60E+09,1,1,1,2012,Alabama,9,0,0,0,0,0,0,0,1,0,0,2012,2010,Alabama,1,0,0,1,0,0,2012,Spring 2011,AL,Alabama,5.10E+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Alabama,2010,0.352941,0.409524,0.421,0,"Riley, Bob",-0.079,0,0,,Alabama,1,2011,2011,2011,1,0,"Bentley, Robert",0,2014,0,1,,,0,1,0,1,1,0,,,0,0,0,0,0,0,0,0,0.421,0.579,0,0.579,AL,Alabama,2011,AL,1,2011,0.755,0.976,-0.487,0.876,0.876,-0.629,1.133,1.133,2011,Alabama,,,,.,,,,2011,Alabama,Alabama,2011,"Bentley, Robert",,,0,0
1988,1987,AK,Alaska,1987,2.5,2,4.20E+09,1.10E+10,541984,-74,1781,1987,1986,Alaska,0,1,1,0,0.666667,1,0.5,0.5,0.5,1,0.666667,1,0,0.4,0.6,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,95,1987,Alaska,-1.00E+06,-9.09,-4959,-0.91,1.10E+09,0,0,1,1988,Alaska,8.67,,0,0,0,0,0,1,0,0,0,1988,1987,Alaska,2,0,1,0,1,0,1988,1987,AK,Alaska,9.50E+07,0,0,0,0,0,0,0,0,0,3.80E+08,0,2.50E+08,0,0,0,0,1.30E+08,0,1.10E+09,0,0,0,0,0,0,0,0,0,34.545,0,22.727,0,0,0,0,11.818,0,2,Alaska,1986,0.4,0.6,0.5261,0,"Sheffield, Bill",0.0261,1,0.0261,,Alaska,2,1987,1987,1987,1,0,"Cowper, Steve C.",0,1990,1,0,,,0,1,1,0,0,0,,,0,0,0,0,34.545,0,22.727,0,0.5261,0.4739,0.5261,0,AK,Alaska,1987,,,,,,,,,,,,1987,Alaska,,,,.,,,,1987,Alaska,Alaska,1987,"Cowper, Steve C.",,,0,34.545
1989,Oct. 1988,AK,Alaska,1988,2.5,2,4.60E+09,1.20E+10,547160,224,2238,1988,1987,Alaska,0,1,1,0,0.666667,1,0.5,0.5,0.5,1,0.666667,1,0,0.4,0.6,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,-152,1988,Alaska,1.00E+06,10,2674,0.5,1.30E+09,0,0,1,1989,Alaska,8.67,0,0,0,0,0,0,1,0,0,0,1989,1988,Alaska,2,0,1,0,1,0,1989,Oct. 1988,AK,Alaska,-1.50E+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Alaska,1987,0.4,0.6,0.5261,0,"Cowper, Steve C.",0.0261,1,0.0261,,Alaska,2,1988,1987,1987,0,1,"Cowper, Steve C.",0,1990,1,0,,,0,1,1,0,0,0,,,0,0,0,0,0,0,0,0,0.5261,0.4739,0.5261,0,AK,Alaska,1988,,,,,,,,,,,,1988,Alaska,,,,.,,,,1988,Alaska,Alaska,1988,"Cowper, Steve C.",,,0,0
1990,Mar. 1989,AK,Alaska,1989,2.5,2,4.40E+09,1.30E+10,553290,163,2572,1989,1988,Alaska,0,1,1,0,0.666667,1,0.5,0.5,0.5,1,0.666667,1,0,0.4,0.6,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,268,1989,Alaska,1.00E+06,9.09,5176,0.96,1.40E+09,0,0,1,1990,Alaska,8.67,0,0,0,0,0,0,1,0,0,0,1990,1989,Alaska,2,0,1,0,1,0,1990,Mar. 1989,AK,Alaska,2.70E+08,1.80E+08,0,0,0,5.20E+06,0,0,1.70E+08,0,2.30E+08,5.30E+07,0,0,0,3.70E+07,0,1.40E+08,0,1.40E+09,12.586,0,0,0,0.371,0,0,12.214,0,16.429,3.786,0,0,0,2.643,0,10,0,2,Alaska,1988,0.4,0.575,0.5261,0,"Cowper, Steve C.",0.0261,1,0.0261,,Alaska,2,1989,1989,1989,1,0,"Cowper, Steve C.",0,1990,1,0,,,0,1,1,0,0,0,,,0,0,0,0,16.429,3.786,0,0,0.5261,0.4739,0.5261,0,AK,Alaska,1989,,,,,,,,,,,,1989,Alaska,,,,.,,,,1989,Alaska,Alaska,1989,"Cowper, Steve C.",,,0,16.429
1991,Mar. 1990,AK,Alaska,1990,2.5,2,4.80E+09,1.30E+10,570193,381,3217,1990,1989,Alaska,0,1,1,0,0.666667,1,0.5,0.5,0.5,1,0.666667,1,0,0.4,0.6,0.6,0.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,838,1990,Alaska,1.00E+06,8.33,6130,1.12,1.50E+09,0,0,1,1991,Alaska,8.67,0,0,0,0,0,0,1,0,0,0,1991,1990,Alaska,2,0.5,1,1,0.5,1,1991,Mar. 1990,AK,Alaska,8.40E+08,0,0,0,0,0,0,0,0,0,3.40E+07,0,0,0,0,3.40E+07,0,0,0,1.50E+09,0,0,0,0,0,0,0,0,0,2.267,0,0,0,0,2.267,0,0,0,2,Alaska,1989,0.4,0.575,0.5261,0,"Cowper, Steve C.",0.0261,0,0,,Alaska,2,1990,1989,1989,0,1,"Cowper, Steve C.",1,1990,1,0,,,0,0,1,0,0,0,,,0,0,0,0,2.267,0,0,0,0.5261,0.4739,0.5261,0,AK,Alaska,1990,,,,,,,,,,,,1990,Alaska,,,,.,,,,1990,Alaska,Alaska,1990,"Cowper, Steve C.",,,0,2.267
1996,Apr. 1995,AK,Alaska,1995,2.5,2,7.40E+09,1.60E+10,608569,0,2216,1995,1994,Alaska,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.4,0.6,0.425,0.55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,0,1995,Alaska,1.00E+06,6.67,1104,0.18,1.90E+09,0,1,1,1996,Alaska,9,0,0,1,0,0,0,0,0,0,0,1996,1995,Alaska,2,0,0,0,1,0,1996,Apr. 1995,AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Alaska,1994,0.4,0.421053,0.5015,0,"Hickel, Walter J.",0.0015,1,0.0015,0,Alaska,2,1995,1995,1995,1,0,"Knowles, Tony",0,1998,1,0,-1.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5015,0.4985,0.5015,0,AK,Alaska,1995,AK,2,1995,0.73,0.662,-0.383,0.804,0.804,-1.049,0.747,0.747,1995,Alaska,-1.33,0.89,-1.25,0,1,1.25,1.25,1995,Alaska,Alaska,1995,"Knowles, Tony",0,-1.33,0,0
1997,Apr. 1996,AK,Alaska,1996,2.5,2,6.80E+09,1.70E+10,612968,0,2484,1996,1995,Alaska,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.4,0.6,0.425,0.55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,0,1996,Alaska,0,0,4157,0.69,1.50E+09,0,1,1,1997,Alaska,9,0,0,1,0,0,0,0,0,0,0,1997,1996,Alaska,2,0,0,0,1,0,1997,Apr. 1996,AK,Alaska,0,0,0,0,0,0,0,0,0,0,8.90E+07,0,0,0,3.30E+07,4.20E+07,6.00E+06,0,8.00E+06,1.50E+09,0,0,0,0,0,0,0,0,0,5.933,0,0,0,2.2,2.8,0.4,0,0.533,2,Alaska,1995,0.4,0.421053,0.5015,0,"Knowles, Tony",0.0015,1,0.0015,0,Alaska,2,1996,1995,1995,0,1,"Knowles, Tony",0,1998,1,0,-1.33,0,0,1,0,1,0,0,0,0,0,0,0,0,5.933,0,0,0,0.5015,0.4985,0.5015,0,AK,Alaska,1996,AK,2,1996,0.73,0.662,-0.383,0.804,0.804,-1.049,0.747,0.747,1996,Alaska,-1.33,0.89,-1.25,0,1,1.25,1.25,1996,Alaska,Alaska,1996,"Knowles, Tony",0,-1.33,0,5.933
1998,Apr. 1997,AK,Alaska,1997,2.5,2,7.40E+09,1.70E+10,619932,70,1894,1997,1996,Alaska,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.35,0.65,0.375,0.625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,,1997,Alaska,1.00E+06,6.25,4399,0.72,1.60E+09,0,1,1,1998,Alaska,9,0,0,1,0,0,0,0,0,0,0,1998,1997,Alaska,2,0,0,0,1,0,1998,Apr. 1997,AK,Alaska,0,2.20E+07,0,0,0,1.70E+07,5.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,1.60E+09,1.388,0,0,0,1.075,0.313,0,0,0,0,0,0,0,0,0,0,0,0,2,Alaska,1996,0.35,0.375,0.5015,0,"Knowles, Tony",0.0015,1,0.0015,0,Alaska,2,1997,1997,1997,1,0,"Knowles, Tony",0,1998,1,0,-1.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5015,0.4985,0.5015,0,AK,Alaska,1997,AK,2,1997,0.741,0.709,-0.404,0.805,0.805,-1.106,0.769,0.769,1997,Alaska,-1.33,0.89,-1.25,0,1,1.25,1.25,1997,Alaska,Alaska,1997,"Knowles, Tony",0,-1.33,0,0
1999,May-98,AK,Alaska,1998,2.5,2,8.00E+09,1.80E+10,624779,0,1291,1998,1997,Alaska,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.3,0.7,0.375,0.625,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,0,1998,Alaska,0,0,6964,1.14,1.20E+09,0,1,1,1999,Alaska,9,0,0,1,0,0,0,0,0,0,0,1999,1998,Alaska,2,0,0,1,1,0,1999,May-98,AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Alaska,1997,0.35,0.375,0.5015,0,"Knowles, Tony",0.0015,1,0.0015,0,Alaska,2,1998,1997,1997,0,1,"Knowles, Tony",1,1998,1,0,-1.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5015,0.4985,0.5015,0,AK,Alaska,1998,AK,2,1998,0.741,0.709,-0.404,0.805,0.805,-1.106,0.769,0.769,1998,Alaska,-1.33,0.89,-1.25,0,1,1.25,1.25,1998,Alaska,Alaska,1998,"Knowles, Tony",0,-1.33,0,0
2000,Jun-99,AK,Alaska,1999,2.5,2,5.90E+09,1.90E+10,627963,0,2082,1999,1998,Alaska,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.25,0.75,0.35,0.65,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,-1984,1999,Alaska,1.00E+06,5.88,4847,0.78,9.10E+08,0,1,1,2000,Alaska,9,0,0,1,0,0,0,0,0,0,0,2000,1999,Alaska,2,0,0,0,1,0,2000,Jun-99,AK,Alaska,-2.00E+09,0,0,0,0,0,0,0,0,0,2.00E+08,0,1.80E+08,0,0,2.70E+07,0,0,0,9.10E+08,0,0,0,0,0,0,0,0,0,21.978,0,19.78,0,0,2.967,0,0,0,2,Alaska,1998,0.25,0.35,0.7291,0,"Knowles, Tony",0.2291,1,0.2291,0,Alaska,2,1999,1999,1999,1,0,"Knowles, Tony",0,2002,1,0,-1.33,0,0,1,0,1,0,0,0,0,0,0,0,0,21.978,0,19.78,0,0.7291,0.2709,0.7291,0,AK,Alaska,1999,AK,2,1999,0.72,0.709,-0.404,0.757,0.757,-0.995,0.769,0.769,1999,Alaska,-1.33,0.89,-1.25,0,1,1.25,1.25,1999,Alaska,Alaska,1999,"Knowles, Tony",0,-1.33,0,21.978
2001,Aug. 2000,AK,Alaska,2000,2.5,2,7.30E+09,2.00E+10,633714,0,2282,2000,1999,Alaska,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.25,0.75,0.35,0.65,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,-1,0,0,2000,Alaska,1.00E+06,5.56,3184,0.51,1.40E+09,0,1,1,2001,Alaska,9,0,0,1,0,0,0,0,0,0,0,2001,2000,Alaska,2,0,0,0,1,0,2001,Aug. 2000,AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Alaska,1999,0.25,0.35,0.7291,0,"Knowles, Tony",0.2291,1,0.2291,0,Alaska,2,2000,1999,1999,0,1,"Knowles, Tony",0,2002,1,0,-1.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7291,0.2709,0.7291,0,AK,Alaska,2000,AK,2,2000,0.72,0.709,-0.404,0.757,0.757,-0.995,0.769,0.769,2000,Alaska,-1.33,0.89,-1.25,0,1,1.25,1.25,2000,Alaska,Alaska,2000,"Knowles, Tony",0,-1.33,0,0
2002,1-Jun,AK,Alaska,2001,2.5,2,6.00E+09,2.10E+10,642337,0,1660,2001,2000,Alaska,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.3,0.7,0.325,0.675,0,1,0,1,0,1,1,1,0,-1,-1,0,0,0,1,0,1,0,1,-1,0,,2001,Alaska,1.00E+06,5.26,5751,0.92,1.40E+09,0,1,1,2002,Alaska,9,0,0,1,0,0,0,0,0,0,0,2002,2001,Alaska,2,0,0,0,1,0,2002,1-Jun,AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.40E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Alaska,2000,0.3,0.325,0.7291,0,"Knowles, Tony",0.2291,1,0.2291,0,Alaska,2,2001,2001,2001,1,0,"Knowles, Tony",0,2002,1,0,-1.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7291,0.2709,0.7291,0,AK,Alaska,2001,AK,2,2001,0.707,0.715,-0.535,0.757,0.757,-0.809,0.768,0.768,2001,Alaska,-1.33,0.89,-1.25,0,1,1.25,1.25,2001,Alaska,Alaska,2001,"Knowles, Tony",0,-1.33,0,0
2003,2-May,AK,Alaska,2002,2.5,2,5.40E+09,2.20E+10,648414,0,1947,2002,2001,Alaska,0,0,1,0,0.666667,1,0.5,0.5,0,0,0.333333,1,1,0.3,0.7,0.325,0.675,0,1,0,1,0,1,1,1,0,-1,-1,0,0,0,1,0,1,0,1,-1,0,0,2002,Alaska,1.00E+06,5,8623,1.36,1.10E+09,0,1,1,2003,Alaska,9,0,0,1,0,0,0,0,0,0,0,2003,2002,Alaska,2,0,0,1,0,0,2003,2-May,AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10E+09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Alaska,2001,0.3,0.325,0.7291,0,"Knowles, Tony",0.2291,0,0,0,Alaska,2,2002,2001,2001,0,1,"Knowles, Tony",1,2002,1,0,-1.33,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7291,0.2709,0.7291,0,AK,Alaska,2002,AK,2,2002,0.707,0.715,-0.535,0.757,0.757,-0.809,0.768,0.768,2002,Alaska,-1.33,0.89,-1.25,0,1,1.25,1.25,2002,Alaska,Alaska,2002,"Knowles, Tony",0,-1.33,0,0
2004,3-Jun,AK,Alaska,2003,2.5,2,6.10E+09,2.30E+10,659286,0,2346,2003,2002,Alaska,0,0,0,0,0.666667,1,0.5,0.5,0,0,0,0,0,0.4,0.6,0.325,0.675,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,-1,0,0,2003,Alaska,1.00E+06,4.76,6077,0.95,1.10E+09,1,1,1,2004,Alaska,9,78,0,0,0,0,0,0,1,0,0,2004,2003,Alaska,2,0,0,0,0,0,2004,3-Jun,AK,Alaska,0,2.40E+07,0,0,0,1.70E+06,0,0,1.00E+06,2.10E+07,7.80E+07,0,0,0,0,3.80E+07,0,1.20E+07,2.90E+07,1.10E+09,2.164,0,0,0,0.155,0,0,0.091,1.918,7.091,0,0,0,0,3.455,0,1.091,2.636,2,Alaska,2002,0.4,0.325,0.4216,7.091,"Knowles, Tony",-0.0784,0,0,1,Alaska,2,2003,2003,2003,1,0,"Murkowski, Frank H.",0,2006,0,1,0,1,0,1,0,1,1,0,1,0,7.091,0,0,0,0,0,0,0,0.4216,0.5784,0,0.5784,AK,Alaska,2003,AK,2,2003,0.676,0.733,-0.535,0.751,0.751,-0.809,0.857,0.857,2003,Alaska,1,1.04,1.25,0,1,1.25,3.9375,2003,Alaska,Alaska,2003,"Murkowski, Frank H.",1,0,7.091,0
2005,Apr. 2004,AK,Alaska,2004,2.5,2,6.60E+09,2.50E+10,666946,0,3055,2004,2003,Alaska,0,0,0,0,0.666667,1,0.5,0.5,0,0,0,0,0,0.4,0.6,0.325,0.675,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,1,0,1,0,1,-1,0,226,2004,Alaska,1.00E+06,4.55,10872,1.68,1.30E+09,1,1,1,2005,Alaska,9,54.5,0,0,0,0,0,0,1,0,0,2005,2004,Alaska,2,0,0,0,0,0,2005,Apr. 2004,AK,Alaska,2.30E+08,9.80E+06,0,0,0,6.30E+06,0,0,0,3.50E+06,5.50E+07,0,0,0,3.60E+07,0,0,1.90E+07,0,1.30E+09,0.754,0,0,0,0.485,0,0,0,0.269,4.231,0,0,0,2.769,0,0,1.462,0,2,Alaska,2003,0.4,0.325,0.4216,4.231,"Murkowski, Frank H.",-0.0784,0,0,1,Alaska,2,2004,2003,2003,0,1,"Murkowski, Frank H.",0,2006,0,1,0,1,0,1,0,1,1,0,1,0,4.231,0,0,0,0,0,0,0,0.4216,0.5784,0,0.5784,AK,Alaska,2004,AK,2,2004,0.676,0.733,-0.535,0.751,0.751,-0.809,0.857,0.857,2004,Alaska,1,1.04,1.25,0,1,1.25,3.9375,2004,Alaska,Alaska,2004,"Murkowski, Frank H.",1,0,4.231,0
